ClassId,AverageSize,DistinctSizesCount,PeakRecordsCount,TotalRecords,StdDev
52949,112,31,6,69,9
53166,105,24,2254,13042,17.6
53166,238,4,428,1155,31.6
53166,379,8,352,1813,24.7
53166,373,4496,96,14937,2962.3
53166,22326,447,2,454,4466.2
53966,1675,11,1420,14833,4.3
53966,1695,272,1286,115509,149.2
53966,2190,524,1014,147481,152.7
53966,2677,250,242,34034,120.3
53966,3541,5631,99,94494,1295.3
53966,10900,3288,15,5048,2104.4
53966,20089,419,12,515,1764.5
53966,29258,220,4,261,2299
56655,491,1429,89,5181,652.3
56655,3641,597,12,1045,921.9
56700,53,8,3,11,3.4
57873,41,8,6786,9605,9.6
57873,64,50,92,1289,12.9
57873,101,16,7,47,10.5
58496,824,65,832,19252,22.6
58496,992,21,442,5667,23.2
58496,855,64,97,2064,28.4
58496,921,93,98,2620,43.9
58496,1183,35,6,49,26.4
58746,58,4,7,16,6.7
58982,285,4,8277,32397,6.3
58982,304,93,7346,130303,40.8
58982,478,151,913,51509,43.1
58982,613,86,199,11401,30
58982,1131,2928,99,29924,675.4
58982,6448,686,4,756,1246.3
58982,10688,159,3,163,1088.5
58982,14484,18,1,18,1151.6
59809,68,59,14,113,35
59809,250,17,2,19,31.3
60719,549,6,1,6,330.4
61386,52,9,77,182,3.2
62622,672,13,346,2722,6.2
62622,675,3156,82,7997,2928.6
62622,23749,423,3,442,4806.2
63487,121,21,9848,64726,5.5
63487,122,9,80,260,9.6
63989,403,7,138,845,2.2
63989,404,55,92,919,13.9
63989,475,30,17,145,16.2
64637,16053,7,2,8,13530.1
2901,81,4,38,108,4
3668,2543,4,4,8,4225.7
4010,42,7,2297,4970,13.8
4010,114,19,309,3922,7.8
4010,170,457,98,3274,144.8
4010,1619,21,2,29,200.8
4900,158,8,196,1143,5.7
4900,538,8,139,988,2.5
4900,420,54,97,1417,174.9
5277,421,247,62,384,3846.1
6409,1037,19,4,29,1247.3
7194,1092,57,45,359,167.3
7194,2224,72,15,199,188.1
7345,58,181,81,631,469.6
7345,2232,60,15,139,261.5
8716,3543,1368,41,6333,1293.9
8716,21587,278,2,283,2920.4
8996,139,5,321,1061,1.9
8996,133,8,97,268,1.7
9307,9445,5,1,5,14079.2
30332,313,25,52,326,8.5
30822,190,6,573,2334,22.3
30822,169,16,94,350,22.5
33560,117,6,2736,4527,26.7
33560,128,3717,92,6513,8959.9
34226,143,160,3318,181718,37.5
34226,314,205,1892,173593,52.5
34226,491,120,507,31327,32.2
34226,737,12,128,1376,47.5
34226,811,825,99,28348,246.7
34226,1614,681,59,6734,172.3
34226,3369,3,1,3,623.9
34356,47,5,30,49,3.7
36036,1210,149,1109,52467,87.7
36036,3834,1046,502,207145,295
36036,4664,6712,99,102925,1642.2
36036,14068,2199,5,2609,2686.9
36036,24233,780,3,834,2141
37341,20,4,569,1210,20.5
37341,27,226,79,1001,119.3
37341,734,5,48,64,70.3
37743,127,9,435,2415,18.5
37743,114,17,78,333,24.1
37743,312,13,2,15,8.9
37883,72,14,17248,65736,2.9
37937,19415,4,1,4,8578.9
39908,344,281,10,434,6131.2
40374,1488,1109,25,2661,1093.4
40374,13071,135,2,136,2344.6
41687,366,8,3,11,28.8
42333,72,5,5436,7616,1.4
43309,105,2,213,355,0.5
43309,245,12,253,1832,26.7
43309,104,4,35,58,1.3
43309,242,66,97,1692,24
43864,433,8,4087,31906,2.8
43864,317,61,2451,43132,16.1
43864,428,90,3623,83020,19.3
43864,540,33,384,7390,12.8
43864,483,173,99,6875,107.5
43864,636,306,98,4133,69.3
43864,1196,8,1,8,143.9
44285,147,5,13,18,29.1
48117,48,9,639,2611,24.8
48117,258,4,400,1174,32.1
48117,31,3436,71,7396,4661.9
48117,24267,474,3,513,3840.7
48615,11009,823,6,1006,3929.2
48615,21485,1930,4,2331,1922.6
48866,31,4,334,697,1.4
48866,37,18,60,233,5.4
48920,41,4,4,9,2.9
50779,183,46,15921,138978,9
50779,159,29,86,775,24.4
50801,249,49,74,313,80.2
52700,81,6,18,40,2.8
54149,198,942,119038,2278878,276.3
54149,1925,766,12343,1530437,120.1
54149,2013,1895,99,44303,760.1
54149,4230,881,13,1914,492.3
54149,8746,43,2,44,865.8
54149,12711,24,1,24,809.6
54149,15194,7,1,7,426.7
54149,19633,8,1,8,1169
55495,103,14,213,2159,15.6
55495,121,67,97,2644,21.2
56446,1917,7,1,7,166.5
57849,164,21,24066,42193,18
57849,204,490,93,2940,438.8
57849,2361,68,15,146,502
58499,406,40,36,255,144.1
58545,5068,204,64,2096,807.5
58545,10588,32,41,238,1235.6
60679,197,18,3,23,83.6
61307,145,37,1007468,10302213,5.1
61307,164,10,66,220,17.7
61354,247,57,244176,2379628,16.3
61354,276,73,194637,2743538,13.3
61354,237,26,86,993,52.7
62081,19794,29,6,34,11951.9
62628,146,59,1460,18199,21.4
62628,195,525,99,6537,189.7
62628,1242,249,14,889,238.5
